时代,分类,科技ID,科技名称,效果描述,效果数值,前置科技,历史背景
Age 6 清末变革,军事线,new_army,新式陆军,陆军训练度,+25%,jianrui_division,编练新军
Age 6 清末变革,军事线,beiyang_fleet,北洋水师,解锁单位,现代海军,new_army,建立北洋水师
Age 6 清末变革,军事线,military_academies,军事学堂,军官质量,+20%,beiyang_fleet,建立军事学堂
Age 6 清末变革,经济线,self_strengthening,洋务运动,工业效率,+25%,handicraft_development,洋务运动
Age 6 清末变革,经济线,modern_industry,近代工业,解锁建筑,工厂,self_strengthening,建立近代工业
Age 6 清末变革,经济线,railway_construction,铁路建设,移动速度,+30%,modern_industry,修建铁路
Age 6 清末变革,文化线,western_learning,西学东渐,科技研究速度,+30%,complete_library,学习西方科技
Age 6 清末变革,文化线,modern_education,新式教育,识字率,+20%,western_learning,建立新式学堂
Age 6 清末变革,文化线,enlightenment,思想启蒙,思想活跃度,+25%,modern_education,思想启蒙运动
Age 6 清末变革,外交线,treaty_ports,开埠通商,对外贸易,+30%,thirteen_hongs,开放通商口岸
Age 6 清末变革,外交线,zongli_yamen_dip,总理衙门外交,外交效率,+20%,treaty_ports,总理衙门处理外交
Age 6 清末变革,外交线,unequal_treaties,不平等条约,主权,-20%,zongli_yamen_dip,签订不平等条约
Age 6 清末变革,外交线,unequal_treaties,不平等条约,对外贸易,+15%,zongli_yamen_dip,签订不平等条约


