Location,Primary_Culture,All_Cultures,Primary_Religion,All_Religions,Pop_Types
baoan_dongguan,yuehai_culture,yuehai_culture,sanjiao,sanjiao,peasants;clergy
baochang,mongolian_culture,mongolian_culture,tengri,tengri,tribesmen;peasants;clergy
baochang_nanxiong,kejia_culture,kejia_culture,sanjiao,sanjiao,peasants;clergy
baode,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
baodi,yan_culture,yan_culture,sanjiao,sanjiao,peasants;clergy
baodian,yi_culture,yi_culture;tai_nua_culture;bai_culture;lahu_culture,lahu_religion,lahu_religion;bimoism;satsana_phi,tribesmen;clergy
baofeng,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
baoji,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
baojing,mongolian_culture,mongolian_culture;tujia_culture;hmong_culture,hmongism,hmongism;tengri;nuo_religion,tribesmen;peasants;clergy
baokang,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
baoning,gaozhou_culture,gaozhou_culture;leizhou_culture,sanjiao,sanjiao,peasants;clergy
baoning_maozhou,amdowa_culture,amdowa_culture;mongolian_culture;gyalrong_culture,bon,bon;tibetan_buddhism,tribesmen;peasants;clergy
baotong,yi_culture,yi_culture;tai_nua_culture;bai_culture,bimoism,bimoism;satsana_phi,tribesmen;clergy
baoying,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
basai,formosan_culture,formosan_culture,formosan_religion,formosan_religion,tribesmen
baxian,shu_culture,shu_culture,sanjiao,sanjiao,burghers;nobles;peasants;clergy
bayannur,tumed_culture,tumed_culture,tengri,tengri,tribesmen;peasants;clergy
bazhai,zhuang_culture,zhuang_culture,moism,moism,tribesmen;clergy
bazhai_duyun,mongolian_culture,mongolian_culture;hmong_culture;sui_culture,sui_religion,sui_religion;hmongism;satsana_phi,tribesmen;clergy
beihai,jiaodong_culture,jiaodong_culture,sanjiao,sanjiao,peasants;clergy
beiliu,yulin_culture,yulin_culture,sanjiao,sanjiao,peasants;clergy
beishe,yi_culture,yi_culture,bimoism,bimoism,tribesmen;clergy
beisheng,nashi_culture,nashi_culture;lisu_culture;dai_culture;yi_culture;bai_culture,lisu_religion,lisu_religion;dongba_religion;bimoism;satsana_phi,tribesmen;clergy
binchuan,yi_culture,yi_culture;bai_culture,mahayana,mahayana;bimoism,tribesmen;peasants;clergy
bishan,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
biyang,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
boai,bai_culture,bai_culture;zhuang_culture,moism,moism,tribesmen;clergy
bobai,yulin_culture,yulin_culture,sanjiao,sanjiao,peasants;clergy
bochuan,mongolian_culture,mongolian_culture;hmong_culture;shu_culture,tibetan_buddhism,tibetan_buddhism;hmongism;sanjiao,tribesmen;peasants;clergy
bohai,jilu_culture,jilu_culture;hui_muslim_culture;jiaodong_culture,sunni,sunni;sanjiao,peasants;clergy
boluo,yuehai_culture,yuehai_culture;dongjiang_culture,sanjiao,sanjiao,peasants;clergy
bomoping,chu_culture,chu_culture;tujia_culture,sanjiao,sanjiao;nuo_religion,tribesmen;peasants;clergy
boxing,jilu_culture,jilu_culture;hui_muslim_culture;jiaodong_culture,sunni,sunni;sanjiao,peasants;clergy
boye,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
bozhou,yi_culture,yi_culture;mongolian_culture;hmong_culture;shu_culture,hmongism,hmongism;tibetan_buddhism;bimoism;sanjiao,tribesmen;slaves;peasants;clergy
cangwu,guangxin_culture,guangxin_culture,sanjiao,sanjiao,peasants;clergy
cangxi,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
caoni,yi_culture,yi_culture;mongolian_culture;hmong_culture,hmongism,hmongism;bimoism,tribesmen;clergy
ceheng,mongolian_culture,mongolian_culture;hmong_culture;zhuang_culture,hmongism,hmongism;moism,tribesmen;clergy
cengtai,yi_culture,yi_culture;bai_culture;mongolian_culture;hmong_culture,mahayana,mahayana;hmongism;bimoism,tribesmen;slaves;clergy
cenxi,guangxin_culture,guangxin_culture,sanjiao,sanjiao,peasants;clergy
chagannur,mongolian_culture,mongolian_culture,tengri,tengri,tribesmen;peasants;clergy
chaling,hengzhou_culture,hengzhou_culture;gan_culture,sanjiao,sanjiao,peasants;clergy
changan,yao_china_culture,yao_china_culture;mongolian_culture;zhuang_culture,yao_religion,yao_religion;moism;tengri,tribesmen;clergy
changge,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
changguo,yue_wu_culture,yue_wu_culture,sanjiao,sanjiao,peasants;clergy
changhua,hlai_culture,hlai_culture;qiong_culture,sanjiao,sanjiao;satsana_phi,tribesmen;peasants;clergy
changle,jilu_culture,jilu_culture;jiaodong_culture,sanjiao,sanjiao,peasants;clergy
changle_fujian,fuzhou_culture,fuzhou_culture,manichaeism,manichaeism;sanjiao,peasants;clergy
changle_xunzhou,kejia_culture,kejia_culture,sanjiao,sanjiao,peasants;clergy
changli,yan_culture,yan_culture,sanjiao,sanjiao,peasants;clergy
changlin,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
changning,yongzhou_culture,yongzhou_culture;gan_culture,sanjiao,sanjiao,peasants;clergy
changning_anyuan,kejia_culture,kejia_culture,sanjiao,sanjiao,peasants;clergy
changning_changning,mongolian_culture,mongolian_culture;shu_culture,tibetan_buddhism,tibetan_buddhism;sanjiao,peasants;clergy
changping,yan_culture,yan_culture;hui_muslim_culture,sunni,sunni;sanjiao,peasants;clergy
changqing,jilu_culture,jilu_culture;hui_muslim_culture,sunni,sunni;sanjiao,peasants;clergy
changsha,xinxiang_culture,xinxiang_culture,sanjiao,sanjiao,burghers;nobles;peasants;clergy
changshan,jiangshan_culture,jiangshan_culture,sanjiao,sanjiao,peasants;clergy
changshe,zhongyuan_culture,zhongyuan_culture;hui_muslim_culture,sunni,sunni;sanjiao,burghers;nobles;peasants;clergy
changshi,she_culture,she_culture;funing_culture,sanjiao,sanjiao;wu_religion,tribesmen;peasants;clergy
changshou_changshou,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
changshou_pingjiang,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
changshu,wu_culture,wu_culture,sanjiao,sanjiao,peasants;clergy
changtai,minnan_culture,minnan_culture,manichaeism,manichaeism;sanjiao,peasants;clergy
changtan,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
changting,kejia_culture,kejia_culture,sanjiao,sanjiao,peasants;clergy
changxing,wu_culture,wu_culture;mongolian_culture,tibetan_buddhism,tibetan_buddhism;sanjiao,peasants;clergy
changyang,mongolian_culture,mongolian_culture;tujia_culture;chu_culture,sanjiao,sanjiao;tengri;nuo_religion,tribesmen;peasants;clergy
changyi,jiaodong_culture,jiaodong_culture,sanjiao,sanjiao,peasants;clergy
changyuan,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
chaocheng,zhongyuan_culture,zhongyuan_culture;jilu_culture,sanjiao,sanjiao,peasants;clergy
chaoxian,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
chaoyang,chaozhou_culture,chaozhou_culture,sanjiao,sanjiao,peasants;clergy
chengbu,laoxiang_culture,laoxiang_culture;mongolian_culture;hmong_culture,hmongism,hmongism;sanjiao,tribesmen;peasants;clergy
chengcheng,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
chengdu,shu_culture,shu_culture,sanjiao,sanjiao,burghers;nobles;peasants;clergy
chengfu,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
chenggong,yi_culture,yi_culture;bai_culture,bimoism,bimoism,tribesmen;clergy
chenggu,qin_culture,qin_culture;shu_culture,sanjiao,sanjiao,peasants;clergy
chengji,liang_culture,liang_culture;qin_culture,sanjiao,sanjiao,burghers;nobles;peasants;clergy
chengmai,hlai_culture,hlai_culture;qiong_culture,sanjiao,sanjiao;satsana_phi,tribesmen;peasants;clergy
chengshan,jiaodong_culture,jiaodong_culture,sanjiao,sanjiao,peasants;clergy
chengwu,zhongyuan_culture,zhongyuan_culture;hui_muslim_culture,sunni,sunni;sanjiao,peasants;clergy
chengxiang,kejia_culture,kejia_culture,sanjiao,sanjiao,peasants;clergy
chengzhou,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
chenxi,xianxi_culture,xianxi_culture;yao_china_culture,yao_religion,yao_religion;sanjiao,tribesmen;peasants;clergy
chenyang,yongzhou_culture,yongzhou_culture,sanjiao,sanjiao,peasants;clergy
chijin,liang_culture,liang_culture,sanjiao,sanjiao,peasants;clergy
chiping,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
chongan,chuzhou_culture,chuzhou_culture;jianning_culture,sanjiao,sanjiao,peasants;clergy
chongde,wu_culture,wu_culture,sanjiao,sanjiao,peasants;clergy
chongming,wu_culture,wu_culture,sanjiao,sanjiao,peasants;clergy
chongren,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
chongshan,zhuang_culture,zhuang_culture,moism,moism,tribesmen;clergy
chongxin,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
chongyang,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
chongyi,kejia_culture,kejia_culture,sanjiao,sanjiao,peasants;clergy
chuanzhou,jurchen_culture,jurchen_culture,tungusic_shamanism,tungusic_shamanism,tribesmen;peasants;clergy
chunan,wuzhou_culture,wuzhou_culture;jixi_culture;jiangshan_culture,sanjiao,sanjiao,peasants;clergy
chunhua,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
chuqiu,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
cili,changde_culture,changde_culture;mongolian_culture;tujia_culture,sanjiao,sanjiao;tengri;nuo_religion,tribesmen;peasants;clergy
cixi,yue_wu_culture,yue_wu_culture,sanjiao,sanjiao,peasants;clergy
conghua,kejia_culture,kejia_culture;yuehai_culture,sanjiao,sanjiao,peasants;clergy
daan,qin_culture,qin_culture;shu_culture,sanjiao,sanjiao,peasants;clergy
dacheng,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
dadandang,khampa_culture,khampa_culture;nashi_culture,bon,bon;tibetan_buddhism;dongba_religion,tribesmen;slaves;clergy
dadu,yan_culture,yan_culture;mongolian_culture;hui_muslim_culture,tibetan_buddhism,tibetan_buddhism;sunni;sanjiao,burghers;nobles;peasants;clergy
dafang,mongolian_culture,mongolian_culture;yi_culture;bai_culture;hmong_culture;gelao_culture,mahayana,mahayana;hmongism;sanjiao;bimoism,tribesmen;slaves;clergy
dagu,yan_culture,yan_culture;hui_muslim_culture,sunni,sunni;sanjiao,peasants;clergy
dagu_shunyuan,yi_culture,yi_culture;mongolian_culture;hmong_culture;gelao_culture,hmongism,hmongism;sanjiao;bimoism,tribesmen;slaves;clergy
daguan,yi_culture,yi_culture;hmong_culture;shu_culture,hmongism,hmongism;sanjiao;bimoism,tribesmen;peasants;clergy
daizhou,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
dancheng,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
dangcheng,liang_culture,liang_culture;mongolian_culture,sanjiao,sanjiao;tengri,tribesmen;peasants;clergy
dangshan,huaihai_culture,huaihai_culture,sanjiao,sanjiao,peasants;clergy
dangtu,jianghuai_culture,jianghuai_culture;xuanzhou_culture,sanjiao,sanjiao,peasants;clergy
dangyang,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
daning,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
daning_kuizhou,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
daning_pingquan,kharchin_culture,kharchin_culture,tengri,tengri,tribesmen;peasants;clergy
danleng,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
dantu,wu_culture,wu_culture;hui_muslim_culture;jianghuai_culture,sunni,sunni;sanjiao,peasants;clergy
danyang,wu_culture,wu_culture;jianghuai_culture,sanjiao,sanjiao,peasants;clergy
daolong,tai_lu_culture,tai_lu_culture;blang_culture,blang_religion,blang_religion;satsana_phi,tribesmen;clergy
dasong,jiaodong_culture,jiaodong_culture,sanjiao,sanjiao,peasants;clergy
datian,fuzhou_culture,fuzhou_culture;jianning_culture,manichaeism,manichaeism;sanjiao,peasants;clergy
datian_shizhou,mongolian_culture,mongolian_culture;tujia_culture;hmong_culture,hmongism,hmongism;tengri;nuo_religion,tribesmen;peasants;clergy
datong_datong,jin_culture,jin_culture,sanjiao,sanjiao,burghers;nobles;peasants;clergy
datong_xining,amdowa_culture,amdowa_culture;monguor_culture,bon,bon;tibetan_buddhism;mahayana,peasants;clergy
daxing,yan_culture,yan_culture,sanjiao,sanjiao,peasants;clergy
daxue,she_culture,she_culture;chuzhou_culture;ouhai_culture,sanjiao,sanjiao;wu_religion,tribesmen;peasants;clergy
dayao,yi_culture,yi_culture;bai_culture,mahayana,mahayana;bimoism,tribesmen;clergy
dayaoshan,yao_china_culture,yao_china_culture;mongolian_culture;zhuang_culture,yao_religion,yao_religion;moism,tribesmen;clergy
daye,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
dayi,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
dayong,waxiang_culture,waxiang_culture;mongolian_culture;tujia_culture,sanjiao,sanjiao;tengri;nuo_religion,tribesmen;peasants;clergy
dayu,kejia_culture,kejia_culture,sanjiao,sanjiao,peasants;clergy
dazhasi,amdowa_culture,amdowa_culture;qin_culture;mongolian_culture,bon,bon;tibetan_buddhism;sanjiao,tribesmen;peasants;clergy
dazhu,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
dazu,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
dean,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
dechang,yi_culture,yi_culture,bimoism,bimoism,tribesmen;clergy
dehua,minnan_culture,minnan_culture,manichaeism,manichaeism;sanjiao,peasants;clergy
dehua_jiujiang,gan_culture,gan_culture;jianghuai_culture,sanjiao,sanjiao,peasants;clergy
dejiang,tujia_culture,tujia_culture,nuo_religion,nuo_religion,tribesmen;peasants;clergy
dengfeng,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
deping,jilu_culture,jilu_culture;hui_muslim_culture,sunni,sunni;sanjiao,peasants;clergy
deqing,wu_culture,wu_culture,sanjiao,sanjiao,peasants;clergy
dexing,qiwu_culture,qiwu_culture,sanjiao,sanjiao,peasants;clergy
deyang,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
dianbai,gaozhou_culture,gaozhou_culture,sanjiao,sanjiao,peasants;clergy
dianjiang,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
diaomen,khampa_culture,khampa_culture;mongolian_culture;gyalrong_culture;shu_culture,bon,bon;tibetan_buddhism;sanjiao,tribesmen;peasants;clergy
didao,amdowa_culture,amdowa_culture;liang_culture;mongolian_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
dingan,hlai_culture,hlai_culture;qiong_culture,sanjiao,sanjiao;satsana_phi,tribesmen;peasants;clergy
dingbian,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
dingbian_shunning,yi_culture,yi_culture;tai_nua_culture;bai_culture,bimoism,bimoism;satsana_phi,tribesmen;clergy
dingcheng,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
dinghai,yue_wu_culture,yue_wu_culture,sanjiao,sanjiao,peasants;clergy
dinghu,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
dingnan,kejia_culture,kejia_culture,sanjiao,sanjiao,peasants;clergy
dingnan_anshun,gelao_culture,gelao_culture;mongolian_culture;hmong_culture;zhuang_culture,sanjiao,sanjiao;hmongism;moism,tribesmen;slaves;clergy
dingqiang,amdowa_culture,amdowa_culture;bonan_culture;liang_culture;mi_niah_culture,sunni,sunni;mahayana;sanjiao,tribesmen;peasants
dingrong,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
dingtao,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
dingxi,liang_culture,liang_culture;mongolian_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
dingxiang,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
dingxing,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
dingyuan,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
dingyuan_chuxiong,yi_culture,yi_culture;bai_culture,bimoism,bimoism,tribesmen;clergy
dingyuan_fengyang,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
dingyuan_lingzhou,liang_culture,liang_culture;mongolian_culture;hui_muslim_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;sunni;mahayana;sanjiao,peasants;clergy
dizhai,hmong_culture,hmong_culture,hmongism,hmongism,tribesmen;clergy
dongan,guangxin_culture,guangxin_culture,sanjiao,sanjiao,peasants;clergy
dongan_shuntian,yan_culture,yan_culture,sanjiao,sanjiao,peasants;clergy
dongan_yongzhou,yongzhou_culture,yongzhou_culture,sanjiao,sanjiao,peasants;clergy
dongchuan,yi_culture,yi_culture;mongolian_culture;shu_culture,tibetan_buddhism,tibetan_buddhism;bimoism;sanjiao,tribesmen;slaves;clergy
donge,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
dongguan,yuehai_culture,yuehai_culture,sanjiao,sanjiao,peasants;clergy
dongguang,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
donglan,yao_china_culture,yao_china_culture;mongolian_culture;zhuang_culture,yao_religion,yao_religion;moism,tribesmen;clergy
dongliangting,mongolian_culture,mongolian_culture,tengri,tengri,tribesmen;peasants;clergy
dongliu,qiwu_culture,qiwu_culture;gan_culture;xuanzhou_culture,sanjiao,sanjiao,peasants;clergy
dongming,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
dongping,laoxiang_culture,laoxiang_culture,sanjiao,sanjiao,peasants;clergy
dongsheng,tumed_culture,tumed_culture,tengri,tengri,tribesmen;peasants;clergy
dongxiang,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
dongxiang_dazhou,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
dongyang,wuzhou_culture,wuzhou_culture,sanjiao,sanjiao,peasants;clergy
doukang,zhuang_culture,zhuang_culture,moism,moism,tribesmen;clergy
duanshi,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
duanxi,yuehai_culture,yuehai_culture,sanjiao,sanjiao,peasants;clergy
duchang,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
ducheng,yuehai_culture,yuehai_culture,sanjiao,sanjiao,peasants;clergy
duling,yangjiang_culture,yangjiang_culture,sanjiao,sanjiao,peasants;clergy
duoshui,qin_culture,qin_culture;shu_culture,sanjiao,sanjiao,peasants;clergy
dushan,mongolian_culture,mongolian_culture;hmong_culture;zhuang_culture;sui_culture,moism,moism;sui_religion;hmongism;satsana_phi,tribesmen;clergy
dushikou,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
duyang,yao_china_culture,yao_china_culture;mongolian_culture;zhuang_culture,yao_religion,yao_religion;moism,tribesmen;clergy
duyun,hmong_culture,hmong_culture;sui_culture,sui_religion,sui_religion;hmongism,tribesmen;clergy
emei,yi_culture,yi_culture;mongolian_culture;shu_culture,tibetan_buddhism,tibetan_buddhism;bimoism;sanjiao,tribesmen;peasants;clergy
enhua,kharchin_culture,kharchin_culture;jurchen_culture,tungusic_shamanism,tungusic_shamanism;tengri,tribesmen;peasants;clergy
enping,xinhui_culture,xinhui_culture,sanjiao,sanjiao,peasants;clergy
enzhou,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
erdao,mongolian_culture,mongolian_culture,tengri,tengri,tribesmen;peasants;clergy
fanchang,jianghuai_culture,jianghuai_culture;xuanzhou_culture,sanjiao,sanjiao,peasants;clergy
fancheng,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
fangcheng,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
fangling,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
fangshan,yan_culture,yan_culture,sanjiao,sanjiao;nestorianism,peasants;clergy
fangshan_lishi,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
fanxian,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
fanyang,yan_culture,yan_culture,sanjiao,sanjiao,peasants;clergy
feicheng,zhongyuan_culture,zhongyuan_culture;jilu_culture,sanjiao,sanjiao,peasants;clergy
feihu,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
feixian,zhongyuan_culture,zhongyuan_culture;jilu_culture,sanjiao,sanjiao,peasants;clergy
fengcheng,yao_china_culture,yao_china_culture,yao_religion,yao_religion,tribesmen;clergy
fengcheng_fengcheng,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
fengchuan,guangxin_culture,guangxin_culture,sanjiao,sanjiao,peasants;clergy
fengdu,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
fengfu,jilu_culture,jilu_culture;hui_muslim_culture,sunni,sunni;sanjiao,peasants;clergy
fenghua,yue_wu_culture,yue_wu_culture,sanjiao,sanjiao,peasants;clergy
fengjie,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
fengle,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
fengqiu,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
